日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260831,5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260831,5528,フロンティアハウス,PRO Market,8050,不動産業,17,不動産,-,-
20260831,552A,ＭＡＸＩＳ米国ＡＩインフラ株上場投信,ETF・ETN,-,-,-,-,-,-
20260831,5531,エヌバイテクノロジーズ,PRO Market,8050,不動産業,17,不動産,-,-
20260831,5532,リアルゲイト,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260831,5533,エリッツホールディングス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20260831,5534,エンゼルグループ,PRO Market,8050,不動産業,17,不動産,-,-
20260831,5535,ミガロホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,-,-
20260831,5536,京橋アートレジデンス,PRO Market,8050,不動産業,17,不動産,-,-
20260831,5537,ＡｌｂａＬｉｎｋ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260831,5541,大平洋金属,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,5542,新報国マテリアル,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,554A,バトンズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,555A,北王ＧＲＯＵＰ,PRO Market,5050,陸運業,12,運輸・物流,-,-
20260831,5563,新日本電工,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,556A,犬猫生活,グロース（内国株式）,6100,小売業,14,小売,-,-
20260831,5570,ジェノバ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5571,エキサイトホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5572,Ｒｉｄｇｅ－ｉ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5573,働楽ホールディングス,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5574,ＡＢＥＪＡ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5575,Ｇｌｏｂｅｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5576,オービーシステム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5578,ＡＲアドバンストテクノロジ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,557A,フェリエスト,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,5580,プロディライト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5581,カイテクノロジー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
